world,kind,prior,net,n_final,risk
0,random,raw,4225633.623814212,3,17.2584368473123
0,random,hier,4865374.234421764,4,13.441472206412445
1,random,raw,4498018.206159366,5,11.067335243553009
1,random,hier,3679524.129310194,3,9.02147442993137
2,random,raw,3531764.616419818,3,20.31048906048906
2,random,hier,3694512.5670065708,3,41.78698827925938
3,random,raw,4214822.262774216,5,6.495589414595028
3,random,hier,1966332.2792137037,2,12.123411978221416
4,random,raw,4773481.045006126,4,8.991250125716585
4,random,hier,4540703.861692105,4,8.086469175340273
5,random,raw,4842370.164663294,4,5.4612395172836985
5,random,hier,2913681.517897104,4,5.641134601083608
6,random,raw,4876444.086138998,4,6.05475040257649
6,random,hier,4578124.859697594,5,8.1
7,random,raw,4398574.715276565,4,12.677006068779502
7,random,hier,4154293.35046414,4,10.542108421684336
8,random,raw,4309155.591613802,4,7.901342355123868
8,random,hier,4304635.999213376,4,16.144504541279723
9,random,raw,3983046.7771884836,4,11.02089315773839
9,random,hier,1969523.205631306,4,21.654054054054054
10,random,raw,4129602.1125483215,3,6.093953378298426
10,random,hier,4081069.2862804327,3,11.678832116788321
11,random,raw,4700697.542703234,5,23.123835337963747
11,random,hier,4216712.931443067,4,26.327454948443673
12,random,raw,4580220.447071619,4,8.736742623122966
12,random,hier,4467734.513802979,4,13.057384760112887
13,random,raw,1379414.429964894,4,48.77331540917493
13,random,hier,2298351.0452075168,5,24.26968146558838
14,random,raw,4717638.1643905835,4,14.528153815970178
14,random,hier,4462467.903151934,4,8.45521939491084
15,random,raw,4819044.84416747,6,3.3344646190395384
15,random,hier,4411754.106032739,4,8.305199189736664
16,random,raw,3965139.596243437,5,17.441665267752224
16,random,hier,3842421.6816796996,4,20.99438106589477
17,random,raw,1891499.0175542878,4,17.538940809968846
17,random,hier,3891881.491164755,4,16.3148944683405
18,random,raw,4505665.342214932,4,10.158175842235003
18,random,hier,4440692.5190843465,4,9.376594225079074
19,random,raw,4860960.578690518,4,7.26675561941907
19,random,hier,3983989.635180278,2,19.15204678362573
