scenario,seed,agent,agent_violations,lcb,lcb_violations,mu,mu_violations
mock,20000,4778481.094756197,0,5170320.172069725,0,5170320.172069725,0
mock,20001,4413812.886934821,0,4477759.446897874,0,4477759.446897874,0
mock,20002,4065992.92837031,0,4385529.94976006,0,4385529.94976006,0
mock,20003,4348812.590659847,0,4801905.689366524,0,4808857.2622791855,0
mock,20004,4585653.961997071,0,4849776.820653923,0,4849776.820653923,0
mock,20005,4304370.210367724,0,4758740.422155624,0,4758740.422155624,0
mock,20006,4450846.399836272,0,4842197.818072226,0,4842197.818072226,0
mock,20007,4279384.355981156,0,4291700.960294122,0,4291700.960294122,0
mock,20008,4042985.6628202545,0,4042985.6628202545,0,4042985.6628202545,0
mock,20009,2806380.6175902286,0,3257435.1829344975,0,3257435.1829344975,0
mock,20010,4314327.364221441,0,4767272.287930439,0,4767272.287930439,0
mock,20011,4440085.540170191,0,4836355.538355239,0,4836355.538355239,0
mock,20012,3789346.064075502,0,4012953.9477362246,0,4012953.9477362246,0
mock,20013,4820834.053340851,0,4868379.059663281,0,4868379.059663281,0
mock,20014,4348592.83518611,0,4801459.418770532,0,4808410.9916831935,0
random,20000,-218656.16762697807,0,-218656.16762697807,0,-218656.16762697807,0
random,20001,536698.0441164402,0,536698.0441164402,0,504706.31165021495,0
random,20002,2512971.003342787,0,2696548.495268012,0,2696548.495268012,0
random,20003,1161849.0313351045,0,1208245.0161342926,0,1208245.0161342926,0
random,20004,581310.9292443764,0,720763.6742381738,0,719688.7843569884,0
random,20005,280190.49776797625,0,274836.73275930353,0,274836.73275930353,0
random,20006,1799750.06896645,0,1979527.2208236947,0,1979527.2208236947,0
random,20007,1106896.7747675464,0,1283799.2743385495,0,1283799.2743385495,0
random,20008,4449250.475697384,0,4608157.909066882,0,4608157.909066882,0
random,20009,1920572.3338598632,0,1920572.3338598632,0,1991173.1277660024,0
random,20010,2860635.233946381,0,2902230.888467406,0,3025289.0858041914,0
random,20011,1837474.739390106,0,1977589.7894821498,0,1977589.7894821498,0
random,20012,848515.8061580592,0,856397.0217377192,0,856397.0217377192,0
random,20013,1141270.155185486,0,1135503.121313323,0,1142006.290758966,0
random,20014,1260263.0801450626,0,1320242.7519001113,0,1328219.2966614102,0
noise,20000,5766056.446115427,0,6039402.06303696,0,6039402.06303696,0
noise,20001,4210806.838412317,0,4218015.7637388185,0,4218015.7637388185,0
noise,20002,6344928.776413192,0,6577317.222308842,0,6577317.222308842,0
noise,20003,6277304.010085545,0,6563834.948505698,0,6563236.789726719,0
noise,20004,3170901.1393631776,0,3506668.625495597,0,3508352.2451295312,0
noise,20005,4796478.857686144,0,5160149.381300847,0,5163139.756913393,0
noise,20006,4964659.304564901,0,5303434.848658719,0,5303848.813111752,0
noise,20007,3628636.5193339465,0,3636909.743985374,0,3636909.743985374,0
noise,20008,4126381.9668560848,0,4376233.598534567,0,4376233.598534567,0
noise,20009,4859490.475286422,0,5156927.557320637,0,5158434.399948862,0
noise,20010,5605289.474569496,0,6070506.8578521665,0,6070506.8578521665,0
noise,20011,5358873.6695314,0,5728058.993709806,0,5728058.993709806,0
noise,20012,2887058.836722501,0,2915432.6686283527,0,2915432.6686283527,0
noise,20013,3416816.750270976,0,3619090.0789922643,0,3619090.0789922643,0
noise,20014,4454984.209812518,0,4806945.630905971,0,4806945.630905971,0
flip,20000,1424249.7559721528,0,1626627.9648621716,0,1626627.9648621716,0
flip,20001,3042079.262592393,0,3081251.323791846,0,3081251.323791846,0
flip,20002,1231249.6522306753,0,1231249.6522306753,0,1231249.6522306753,0
flip,20003,3062620.0492758867,0,3301024.5937332283,0,3301024.5937332283,0
flip,20004,1138801.719458805,0,1218927.7387766193,0,1218927.7387766193,0
flip,20005,872091.4698273762,0,1094581.2805197255,0,1094581.2805197255,0
flip,20006,1127789.012860854,0,1374888.985406273,0,1409040.2732085069,0
flip,20007,793612.748194481,0,823384.131290218,0,823384.131290218,0
flip,20008,2644061.8412352093,0,2769441.4425756275,0,2769441.4425756275,0
flip,20009,925766.7113086547,0,925766.7113086547,0,1063955.3344454146,0
flip,20010,1220409.5990742892,0,1396269.9450208133,0,1261494.560736008,0
flip,20011,1144286.844551573,0,1369196.4383489587,0,1367950.388210084,0
flip,20012,1286583.1372617723,0,1334877.2719210307,0,1342808.228458648,0
flip,20013,932292.3851370977,0,932292.3851370977,0,977313.8986093695,0
flip,20014,950461.5739937867,0,1162939.3778410738,0,1178608.8537013468,0
shift,20000,3574620.0124293724,0,3808057.5686696926,0,3808057.5686696926,0
shift,20001,1802021.4550061293,0,1802021.4550061293,0,1802021.4550061293,0
