scenario,seed,world,ceiling,agent,agent_campaigns,history_only,history_only_campaigns,known,known_campaigns,known_channels,known_channels_campaigns,known_channels_mix
mock,0,mock-0,6636079.831572308,4322268.321765412,3,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,1,mock-1,6636079.831572308,4457386.076894892,4,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,2,mock-2,6636079.831572308,3803245.7071941835,3,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,3,mock-3,6636079.831572308,4345999.888900835,4,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,4,mock-4,6636079.831572308,4429374.867279577,4,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,5,mock-5,6636079.831572308,4771633.530620326,4,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,6,mock-6,6636079.831572308,4325827.150326176,3,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,7,mock-7,6636079.831572308,4785271.777024608,4,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,8,mock-8,6636079.831572308,4770891.767601211,4,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,9,mock-9,6636079.831572308,2630918.1217190214,5,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,10,mock-10,6636079.831572308,4313450.79156423,3,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,11,mock-11,6636079.831572308,4224391.404000625,3,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,12,mock-12,6636079.831572308,4496041.880117235,5,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,13,mock-13,6636079.831572308,4218477.05804687,4,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
mock,14,mock-14,6636079.831572308,4792091.661717333,5,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms"
random,0,random-0,9483583.814898297,188647.4198782646,1,423173.20903351123,8,2572705.1965815313,9,2710689.4391109487,9,"digital_ads,sms"
random,1,random-1,2685620.221570635,852095.5114755147,1,1080053.2463151177,8,1740395.237637749,6,1790216.0496105081,6,"digital_ads,sms"
random,2,random-2,8502838.177278988,5574540.8733246485,3,5446752.361692537,8,5913967.173533752,5,5913967.173533752,5,sms
random,3,random-3,3289801.983829868,-80567.82861773792,1,-626494.0399626889,8,1908971.5442892362,10,2020066.9408116946,10,"digital_ads,push,sms"
random,4,random-4,6384195.643435444,-151598.55905422103,2,-1184991.700227792,8,3940299.403594828,5,3940276.747073898,5,"digital_ads,sms"
random,5,random-5,10378632.820309682,6330667.64430822,4,2961163.0477507645,8,7064042.647822686,7,7641872.30295423,7,"call,digital_ads,push,sms"
random,6,random-6,4306563.248244119,2086665.1592631685,3,2052697.1232004785,8,3407537.2589205736,6,3610099.580916675,6,"digital_ads,push,sms"
random,7,random-7,3266178.480270167,-287186.3868693026,1,-1359749.8301921338,8,1890954.527536286,10,2021407.3748295433,10,"digital_ads,push,sms"
random,8,random-8,4285251.039532251,312549.0022531913,3,-77871.26313975602,8,1604270.5413815614,5,1667097.4578874654,5,"digital_ads,sms"
random,9,random-9,3263586.3261339287,-12872.523787644404,3,-1651969.528753616,8,1492397.8528908398,8,1582278.2322903823,8,"digital_ads,push,sms"
random,10,random-10,3801668.3717363393,917062.1230940582,2,1718980.039613435,8,2686934.88817531,4,2686934.88817531,4,sms
